author_list,affiliation,organization_type
Yo-Hey Otake,University 7,University
Jean-Christophe Doré,Company 13,Company
Tiiu Ojasoo,University 17,University
Cara Jardine,University 29,University
Ian Ruthven,University 10,University
Steven Buchanan,Company 12,Company
Hong Cui,University 14,University
Judit Bar-Ilan,University 23,University
Caifan Du,Company 29,Company
James Howison,University 6,University
Johanna Cohoon,Company 24,Company
Patrice Lopez,Company 16,Company
Kyungwon Koh,University 19,University
Aaron J. Lercher,University 30,University
Christopher A. Badurek,University 10,University
Casey S. Pierce,Company 4,Company
Tiffany C. Veinot,Company 1,Company
Alice M. Tan,University 1,University
Fred Y. Ye,University 2,University
Jiang Li 0002,Company 3,Company
Paul L. Zhang,University 23,University
Star X. Zhao,Company 14,Company
Qin Lu 0001,Company 7,Company
Tiejun Zhao,University 16,University
Yuhang Yang,Company 2,Company
Fuji Ren,University 26,University
Xin Kang,University 29,University
Yunong Wu,University 25,University
Andrey Soares,Company 1,Company
Mark Hepworth,University 7,University
Carol L. Barry,Company 22,Company
Carol L. Barry,University 4,University
Clyde W. Holsapple,University 28,University
Jae-Young Oh,Company 26,Company
Liang Chen,University 17,University
Shih-Hui Steven Hsiao,Company 2,Company
Zhiguo Yang,University 1,University
Zhihong Ke,University 29,University
J. Christopher Zimmer,Company 9,Company
Raymond M. Henry,Company 2,Company
Carol L. Barry,University 7,University
Brenna Cummings,Company 5,Company
Chris Shenefiel,University 22,University
Kenneth R. Fleischmann,University 1,University
Lan Li,Company 29,Company
Nitin Verma,Company 17,Company
Sherri R. Greenberg,Company 23,Company
Stephen C. Slota,University 28,University
Stephen J. Bensman,Company 13,Company
Anatoliy A. Gruzd,Company 19,Company
Carolina Castaldi,University 16,University
Frank J. van Rijnsoever,University 14,University
Stefan Stieger,Company 20,Company
Viren Swami,University 30,University
Andrew Large,University 28,University
Charles Cole 0001,Company 13,Company
Dhary Abuhimed,Company 11,Company
Isabelle Lamoureux,University 3,University
Jamshid Beheshti,University 16,University
Mohammed J. AlGhamdi,Company 23,Company
Mika Käki,Company 4,Company
David Bawden,University 15,University
Deborah Lee,Company 12,Company
Lyn Robinson,University 30,University
Libby Hemphill,University 30,University
John Cullen,Company 27,Company
Henk F. Moed,University 4,University
David Tomás,Company 11,Company
José Luis Vicedo González,University 19,University
Jaime Gómez,Company 1,Company
José Luis Vicedo González,Company 27,Company
C. J. van Rijsbergen,University 12,University
Ian Ruthven,University 27,University
Mounia Lalmas,Company 4,Company
Donghua Zhu 0001,Company 30,Company
Guangquan Zhang 0001,University 23,University
Jie Lu 0001,University 18,University
Yi Zhang 0095,University 13,University
Concepción S. Wilson,University 15,University
John D'Ambra,Company 18,Company
Asif-ul Haque,Company 12,Company
Paul Ginsparg,University 12,University
Diana Lucio-Arias,University 24,University
Loet Leydesdorff,Company 27,Company
Shelagh K. Genuis,University 3,University
Nigel Ford,Company 25,Company
Howard R. Pollio,University 24,University
Jacqueline Kracker,University 2,University
Abdullah Abrizah,University 29,University
Mike Thelwall,University 25,University
Hsinchun Chen,Company 5,Company
Biren Shah,Company 6,Company
Praveen Dhatric,Company 26,Company
Vijay V. Raghavan 0001,University 20,University
Xiaoquan Zhao,Company 14,Company
Jacco van Ossenbruggen,University 5,University
Liliana M. Melgar Estrada,Company 27,Company
Michiel Hildebrand,Company 18,Company
Victor de Boer,Company 19,Company
Claire McInerney,University 26,University
Kyong Eun Oh,University 14,University
Alexander Serenko,University 17,University
Brian Detlor,Company 6,Company
Heidi E. Julien,University 18,University
Maegen Lavallee,Company 25,Company
Rebekah Willson,Company 16,Company
Gloria Hammershlag,Company 13,Company
Moshe Yitzhaki,University 29,University
Sarvnaz Karimi,Company 7,Company
Wenyi Tay,Company 14,Company
Xiuzhen Zhang,Company 24,Company
Qiang Fang,Company 14,Company
Weijia Li,Company 29,Company
Yu Liu 0035,Company 22,Company
Zhen Huang,University 23,University
Sanghee Oh,Company 6,Company
Sue Yeon Syn,Company 19,Company
Alesia A. Zuccala,Company 2,Company
Birger Hjørland,University 6,University
Ehsan Mohammadi,University 9,University
Mike Thelwall,University 15,University
Pramod K. Nayar,University 15,University
Amy G. Buhler,University 22,University
Brittany Brannon,University 3,University
Christopher Cyr,Company 21,Company
Ixchel M. Faniel,Company 11,Company
Joyce Kasman Valenza,Company 21,Company
Lynn Silipigni Connaway,University 24,University
Tara Tobin Cataldo,Company 18,Company
Bert R. Boyce,University 4,University
Blaise Cronin,Company 1,Company
Giovanni Maria Sacco,Company 5,Company
Guo Zhang 0007,Company 24,Company
Min Song 0001,University 9,University
Suyeon Kim,University 20,University
Tamy Chambers,University 27,University
Ying Ding 0001,University 20,University
Achir Kalra,Company 19,Company
Chong Wang,University 23,University
Cristian Borcea,University 19,University
Shuai Zhao,Company 10,Company
Yi Chen 0001,University 15,University
Bernard J. Jansen,Company 13,Company
Michael D. McNeese,Company 30,Company
David Wilkinson,Company 27,Company
Mike Thelwall,Company 9,Company
Pardeep Sud,Company 9,Company
Liwen Vaughan,University 30,University
Angelos Mitrelis,Company 28,Company
Christos Papatheodorou,Company 25,Company
Giannis Tsakonas,Company 12,Company
Leonidas Papachristopoulos,Company 16,Company
Stefano Mizzaro,University 27,University
Alan L. Porter,Company 14,Company
Ismael Ràfols,Company 12,Company
Jan L. Youtie,Company 18,Company
Luciano Kay,Company 1,Company
Nils C. Newman,University 8,University
Melissa J. Harvey,University 2,University
Michael G. Harvey,University 18,University
Adlay Meshiach,Company 16,Company
Bracha Shapira,University 1,University
Tsvi Kuflik,Company 30,Company
Yuval Elovici,Company 8,Company
Hock Chuan Chan,University 9,University
Julian Lin,Company 15,Company
Kwok Kee Wei,Company 14,Company
Kurt D. Fenstermacher,Company 16,Company
Mark Ginsburg,University 2,University
Ashraf Labib,Company 27,Company
John Shimell,University 6,University
Lorraine Hope,University 11,University
Mark Malinowski,Company 22,Company
Salem Chakhar,Company 25,Company
Heather O'Brien,Company 16,Company
Zi-Lin He,Company 30,Company
A. C. Chapin,University 17,University
James C. French,Company 30,Company
Worthy N. Martin,University 23,University
Ying Zhang 0035,University 17,University
Yuelin Li,Company 15,Company
Alesia A. Zuccala,Company 7,Company
Christopher S. G. Khoo,University 26,University
Wei-Ning Cheng,Company 3,Company
Allen Foster,University 16,University
Amanda Spink,University 2,University
David Ellis,University 4,University
Nigel Ford,Company 15,Company
T. D. Wilson 0001,Company 10,Company
Leo Egghe,Company 30,Company
David Miller 0001,Company 27,Company
Nicola Moss,Company 11,Company
Nigel Ford,Company 8,Company
Jacques Savoy,Company 19,Company
Ljiljana Dolamic,Company 18,Company
Carole Probst,University 2,University
Loet Leydesdorff,Company 9,Company
Injun Baek,University 4,University
Min Song 0001,Company 20,Company
Munui Kim,Company 30,Company
Sanjay Gupta,University 21,University
Françoise Salager-Meyer,Company 1,Company
Maryelis Pabón Berbesí,University 15,University
María Ángeles Alcaraz Ariza,Company 19,Company
Julian Warner,University 18,University
Mike Thelwall,Company 1,Company
Paul Wilson 0001,Company 22,Company
Gregory B. Newby,University 14,University
Scott Nicholson,Company 2,Company
Andrew Large,University 3,University
Jamshid Beheshti,University 5,University
Nahid Tabatabaei,University 8,University
Valerie Nesset,Company 29,Company
Dawei Song 0001,University 7,University
Jianhan Zhu,Company 7,Company
Stefan M. Rüger,University 19,University
Andrew Turpin,University 4,University
Falk Scholer,Company 26,Company
Lorena Leal Bando,University 9,University
Katherine W. McCain,Company 11,Company
Dae-Hee Lee,Company 16,Company
Dai-Shin Kang,Company 3,Company
In Wook Nah,University 25,University
Yun-Chul Chung,Company 14,Company
Alan Filipe Santana,Company 24,Company
Alberto H. F. Laender,University 19,University
Anderson A. Ferreira,University 6,University
Marcos André Gonçalves,Company 4,Company
Caroline S. Wagner,University 20,University
Han Woo Park,Company 20,Company
Loet Leydesdorff,Company 13,Company
Amardeep Grewal,University 8,University
Dragomir R. Radev,Company 19,Company
Harris Wu,University 1,University
Hong Qi,University 17,University
Weiguo Fan,Company 10,Company
Loet Leydesdorff,Company 1,Company
Robert L. Goldstone,University 20,University
Bert R. Boyce,University 30,University
Brenna Bychowski,Company 1,Company
Cassidy R. Sugimoto,Company 26,Company
Chaoqun Ni,Company 13,Company
Terrell G. Russell,University 6,University
Xiangmin Zhang,Company 7,Company
Sanda Erdelez,Company 25,Company
Mike Thelwall,Company 20,Company
Rudy Prabowo,University 2,University
Ruth Fairclough,University 19,University
Cecile Chouquet,University 24,University
Lynda Tamine,Company 26,Company
Thomas Palmer,University 15,University
Hui-Min Chen,Company 4,Company
Michael D. Cooper,Company 18,Company
James G. Williams 0001,Company 14,Company
Kai A. Olsen,Company 28,Company
Gerald Benoît,Company 8,Company
Ben Shneiderman,University 2,University
Bonnie J. Dorr,Company 3,Company
Cody Dunne,Company 18,Company
Judith Klavans,Company 10,Company
Robert Gove,Company 14,Company
George Buchanan 0001,University 30,University
Matt Jones 0001,University 4,University
Preeti Jain,University 3,University
Tzu-Chiang Cheng,Company 17,Company
Hong Wang 0015,University 25,University
Lutong Wang,Company 5,Company
Xiao-Hong Hu,Company 21,Company
Yongqiang Song,Company 19,Company
Mohammad Nayef Al-Refai,Company 25,Company
Natheer Khasawneh,Company 2,Company
Rehab M. Duwairi,University 30,University
Arnaud Quirin,Company 5,Company
Benjamín Vargas-Quesada,Company 16,Company
Félix de Moya Anegón,Company 27,Company
Oscar Cordón,Company 14,Company
Vicente P. Guerrero-Bote,University 27,University
Luanne Freund,Company 29,Company
Bracha Shapira,Company 12,Company
Guy Shani,University 16,University
Lior Rokach,Company 3,Company
Moran Tangi,University 7,University
Sarit Hadash,University 12,University
Friedrich Rippmann,Company 17,Company
Luca Toldo,Company 18,Company
Kevin W. Merriman,University 5,University
Ajith Abraham,University 13,University
Naomie Salim,Company 21,Company
Salha Alzahrani,University 5,University
Vasile Palade,Company 19,Company
Caimei Lu,University 17,University
Jung-ran Park,University 7,University
Linda S. Marion,University 25,University
Jian Qin 0001,University 20,University
Naybell Hernández,University 27,University
George R. Thoma,Company 28,Company
Jie Zou,University 2,University
Sameer K. Antani,Company 13,Company
Daning Hu,Company 24,Company
Harry Jiannan Wang,Company 28,Company
Xiao Li,Company 1,Company
Xuan Yang,Company 13,Company
Andrea Scharnhorst,University 21,University
Christine L. Borgman,Company 27,Company
Milena S. Golshan,Company 10,Company
Eugene Garfield,Company 11,Company
Bradley M. Hemminger,Company 1,Company
Sarah Ramdeen,Company 5,Company
Guy Shani,University 26,University
Ido Blank,University 5,University
Lior Rokach,University 16,University
Leslie Carr,Company 1,Company
Stevan Harnad,University 10,University
Tim Brody,Company 20,Company
Lisa A. Ennis,University 21,University
Chris Hubbles,University 12,University
Jin Ha Lee 0001,Company 25,Company
Lara Aase,University 21,University
Perry Meas,University 4,University
Rachel Wishkoski,University 4,University
Jin-Qing Fang,Company 14,Company
Cassidy R. Sugimoto,University 16,University
Erjia Yan,University 17,University
Ying Ding 0001,University 27,University
Christopher C. Yang,Company 28,Company
Kar Wing Li,Company 14,Company
Wallace Koehler,University 9,University
Anne J. Gilliland-Swetland,University 29,University
Christine L. Borgman,Company 23,Company
Gregory H. Leazer,University 16,University
Jason R. Finley,University 30,University
Kelli A. Millwood,Company 13,Company
Laura J. Smart,University 12,University
Leslie Champeny,Company 29,Company
Blaise Cronin,University 3,University
Alon Peled,University 21,University
Kieran White,Company 5,Company
Richard F. E. Sutcliffe,University 14,University
Beibei Hu,Company 10,Company
Chaoqun Ni,University 26,University
Chenwei Zhang,Company 21,Company
Erjia Yan,University 1,University
Stasa Milojevic,University 4,University
Timothy D. Bowman,Company 11,Company
Vincent Larivière,Company 23,Company
Xianlei Dong,University 3,University
Ying Ding 0001,Company 3,Company
Andrew Turpin,University 25,University
Falk Scholer,Company 23,Company
Hugh E. Williams,Company 20,Company
Wu-Liang Ho,University 9,University
Yen-Liang Chen,Company 1,Company
Yi-Hung Liu,University 28,University
Kayvan Kousha,University 24,University
Mike Thelwall,University 15,University
Gonzalo Navarro,University 14,University
Joaquín Adiego,University 11,University
Pablo de la Fuente,Company 10,Company
Bluma C. Peritz,University 25,University
Judit Bar-Ilan,Company 11,Company
Jianshan Sun,University 24,University
Le Wu,University 27,University
Mingyue Zhu,Company 29,Company
Ye-Zheng Liu 0001,University 30,University
Yuanchun Jiang,Company 27,Company
Antoni Meseguer-Artola,Company 13,Company
Eduard Aibar,University 13,University
Josep Lladós 0002,Company 8,Company
Julià Minguillón,University 7,University
Maura Lerga,Company 18,Company
Dina Goren-Bar,Company 3,Company
Tsvi Kuflik,Company 26,Company
Dariusz Jemielniak,University 19,University
Maciej Wilamowski,Company 18,Company
Emanuela Riviera,University 18,University
Ehsan Mohammadi,University 9,University
Kayvan Kousha,University 2,University
Mike Thelwall,University 26,University
Chao Min,University 25,University
Jiang Li 0002,Company 29,Company
Jianjun Sun,University 8,University
Lei Pei,University 28,University
Yi Bu 0001,Company 14,Company
Ying Ding 0001,University 29,University
Carsten S. Østerlund,University 6,University
Christoph Lutz,University 21,University
Karen Boyd,Company 16,Company
Matthew Willis 0001,Company 17,Company
Mohammad Hossein Jarrahi,University 25,University
Myongho Yi,University 6,University
Lina Zhou,Company 26,Company
Pimwadee Chaovalit,University 3,University
Dirk Lewandowski,Company 23,Company
Jutta Haider,Company 22,Company
Olof Sundin,Company 1,Company
Wei Lu 0019,Company 26,Company
Yi Bu 0001,University 16,University
Ying Ding 0001,Company 23,Company
Yong Huang 0008,Company 2,Company
Hamid R. Ekbia,Company 23,Company
Carmine Sellitto,Company 3,Company
Andrew Large,Company 12,Company
Charles Cole 0001,University 15,University
Jamshid Beheshti,Company 10,Company
John E. Leide,University 7,University
Yang Lin,University 5,University
Krystyna K. Matusiak,Company 15,Company
Alberto Accomazzi,University 1,University
Barbara Elwell,University 25,University
Carolyn Stern-Grant,Company 15,Company
Günther Eichhorn,University 12,University
Markus Demleitner,University 16,University
Michael J. Kurtz,University 24,University
Nathalie Martimbeau,Company 4,Company
Stephen S. Murray,Company 8,Company
Alex A. T. Bui,University 2,University
Corey W. Arnold,University 28,University
Denise R. Aberle,University 28,University
Edward B. Garon,Company 18,Company
Karthik Sarma,University 8,University
Mary McNamara,Company 8,Company
Mari Laine-Hernandez,Company 26,Company
Pirkko Oittinen,Company 24,Company
Stina Westman,University 16,University
Ningyuan Fan,Company 26,Company
Shiyang Lai,University 7,University
Dan Bouhnik,University 13,University
Deshen Mor,University 20,University
Aixin Sun,Company 24,Company
Chenliang Li,Company 26,Company
Megan A. Winget,University 19,University
Tanya E. Clement,Company 9,Company
Chaim Zins,Company 15,Company
Elaine G. Toms,Company 22,Company
Besiki Stvilia,Company 26,Company
Corinne Jörgensen,Company 9,Company
Hank W. Bass,Company 25,Company
Hong Huang,University 5,University
Maarten C. A. van der Sanden,University 6,University
Jenny Fry,University 16,University
Mike Thelwall,Company 29,Company
Paul Wouters,University 4,University
Alla Keselman,Company 27,Company
Dongwook Shin,University 7,University
Graciela Rosemblat,University 11,University
Halil Kilicoglu,University 4,University
Honglan Jin,University 21,University
Marcelo Fiszman,University 8,University
Thomas C. Rindflesch,Company 1,Company
Falk Scholer,Company 15,Company
Hamed Zamani,Company 5,Company
Leila Tavakoli,University 23,University
Mark Sanderson,University 4,University
William Bruce Croft,University 8,University
Ludo Waltman,Company 30,Company
Nees Jan van Eck,Company 18,Company
Daphne R. Raban,Company 11,Company
Michal Gaziel Yablowitz,Company 27,Company
Charles Oppenheim,University 1,University
Aixin Sun,University 13,University
Anwitaman Datta,Company 30,Company
Chenliang Li,University 14,University
Enrique Orduña-Malea,Company 11,Company
Michail Tsikerdekis,University 18,University
Tatiana Lukoianova,University 30,University
Victoria L. Rubin,University 3,University
Clyde W. Holsapple,Company 4,Company
Daniel E. O'Leary,Company 4,Company
Anthony I. Jack,University 13,University
David M. Fresco,Company 30,Company
Jared P. Friedman,University 21,University
Kathy D. Wright,University 2,University
Lenette M. Jones,University 16,University
Shirley M. Moore,Company 4,Company
Tiffany C. Veinot,Company 13,Company
Wei Lu,University 2,University
Dagobert Soergel,University 6,University
Chen Ye 0004,Company 17,Company
Oded Nov,Company 10,Company
Elad Segev,Company 2,Company
Shaul R. Shenhav,University 19,University
Tamir Sheafer,University 7,University
Ann Blandford,University 6,University
Claire Warwick,University 4,University
George Buchanan 0001,University 29,University
Jeremy Gow,University 11,University
Jon Rimmer,Company 10,Company
Sook Lim,Company 11,Company
Corinne Jörgensen,Company 28,Company
Peter Jörgensen,Company 28,Company
Ying Zhang 0035,University 12,University
Jie-Chi Yang,Company 18,Company
Yu-Chieh Wu,Company 14,Company
Yue-Shi Lee,University 28,University
Chih-Ping Wei,Company 19,Company
Christopher C. Yang,Company 3,Company
Chun-Ta Chen,Company 29,Company
Yen-Hsien Lee,Company 27,Company
Yu-Sheng Chiang,University 18,University
Dik Lun Lee,University 20,University
Edward K. F. Dang,University 27,University
James Allan,University 27,University
Kei Shiu Ho,University 28,University
Korris Fu-Lai Chung,University 15,University
Robert W. P. Luk,Company 28,Company
Stephen C. F. Chan,Company 9,Company
Xiaozhong Liu,University 26,University
Iris Xie,University 11,University
Shinjeng Lin,Company 7,Company
Michael Marcinkowski,Company 23,Company
Aixin Sun,Company 6,Company
Grace E. Lee,University 14,University
Jan L. Youtie,Company 1,Company
Li Tang 0005,Company 23,Company
Philip Shapira,Company 25,Company
Jesper W. Schneider,University 4,University
Pia Borlund,University 2,University
Hyun Hee Kim,University 24,University
Yong Ho Kim,Company 5,Company
Adam King,University 20,University
Geoffrey W. McKim,University 11,University
Rob Kling,University 9,University
Ian Ruthven,Company 6,Company
Joemon M. Jose,Company 9,Company
Ryen W. White,Company 4,Company
Johann Bauer,University 11,University
Loet Leydesdorff,University 9,University
Lutz Bornmann,University 29,University
Fabio Crestani,University 7,University
Mark James Carman,Company 26,Company
Mostafa Keikha,Company 26,Company
Alicia Cappello,Company 26,Company
Andreas Strotmann,University 5,University
Dangzhi Zhao,Company 22,Company
Carol L. Barry,University 18,University
A. Ben Wagner,Company 13,Company
Karen L. Blackmore,Company 25,Company
Xin Gu,University 28,University
Joseph W. Janes,University 17,University
Rich Gazan,Company 16,Company
Bo Sophia Xiao,Company 13,Company
Jingbo Shao,University 1,University
Mingye Hu,Company 2,Company
Xiaoxiao Liu,University 25,University
Hanghang Cheng,Company 20,Company
Huimin Zhou,Company 18,Company
Ningyuan Song,University 2,University
Xiaoguang Wang 0010,University 21,University
Adrienn Skrop,University 5,University
Sándor Dominich,University 2,University
Bernard Dousset,University 1,University
Claude Chrisment,University 10,University
Joel Alau,Company 26,Company
Josiane Mothe,University 2,University
Yu Su,Company 12,Company
Agustín D. Delgado,Company 11,Company
Raquel Martínez-Unanue 0001,University 13,University
Soto Montalvo,University 11,University
Víctor Fresno,University 24,University
John S. Gero,University 15,University
Julie R. Jupp,Company 13,Company
Ronald E. Day,Company 18,Company
Andreas Strotmann,University 11,University
Dangzhi Zhao,Company 25,Company
Anna Bunn,University 24,University
Nik Thompson,Company 22,Company
Rukshan Alexander,University 10,University
Tanya Jane McGill,Company 26,Company
Alan F. Smeaton,University 10,University
Andrea C. Johnson,University 22,University
Clare Thornley,University 9,University
Hyowon Lee 0001,Company 28,Company
Blaise Cronin,University 19,University
Debora Shaw,University 11,University
Kathryn La Barre,Company 15,Company
Jan Maarten Schraagen,Company 5,Company
Teun Lucassen,University 25,University
Lars Moksness,Company 9,Company
Svein Ottar Olsen,University 2,University
Agnieszka Wnuk,University 23,University
James Hartley,University 26,University
Malgorzata Tartanus,University 10,University
Marcin Kozak,University 16,University
Chih Hao Ku 0001,Company 24,Company
Gondy Leroy,University 13,University
Mikhail V. Simkin,University 13,University
Vwani P. Roychowdhury,Company 15,Company
Ciaran B. Trace,Company 26,Company
Peter Wittek,University 5,University
Sándor Darányi,University 8,University
Peter van den Besselaar,University 1,University
Fabio Crestani,University 13,University
Heather Du,Company 18,Company
Chi-Ming Chen,Company 28,Company
Jacinto Mata Vázquez,University 17,University
Manuel J. Maña López,Company 22,Company
Noa P. Cruz Díaz,Company 18,Company
Victoria Pachón Álvarez,University 22,University
Abebe Rorissa,University 6,University
Christoph Becker 0001,Company 30,Company
Kresimir Duretec,University 11,University
Jacques Savoy,Company 18,Company
Leo Egghe,Company 7,Company
Lisa A. Ennis,University 9,University
Tefko Saracevic,Company 20,Company
Jonathan Furner,University 30,University
Björn Hammarfelt,Company 5,Company
Gaby Haddow,Company 13,Company
Murat Karamuftuoglu,Company 23,Company
Dina Demner-Fushman,Company 19,Company
Halil Kilicoglu,University 2,University
Susanne M. Humphrey,University 1,University
Thomas C. Rindflesch,Company 13,Company
Willie J. Rogers,Company 24,Company
Chaochang Chiu,Company 27,Company
Handsome Su,University 24,University
Hsinchun Chen,Company 30,Company
Yulei Zhang 0001,University 9,University
Yungchang Ku,University 25,University
Ludo Waltman,Company 6,Company
Nees Jan van Eck,University 14,University
Joonmin Kim,University 15,University
Kathleen Burnett,University 3,University
Laurie J. Bonnici,University 8,University
Shawne D. Miksa,University 30,University
Leo Egghe,University 7,University
David A. Grossman,Company 28,Company
Mohammed Aljlayl,University 27,University
Ophir Frieder,Company 8,Company
Ronald Rousseau 0001,Company 26,Company
Mike Thelwall,University 8,University
Paul Wilson 0001,University 9,University
Alex De Visscher,University 22,University
Pramod K. Nayar,Company 7,Company
Shing-Tung Yau,University 10,University
Yen-Hsi Richard Tsai,Company 28,Company
Yingying Wu,Company 27,Company
Yiqun Liu 0001,Company 3,Company
Dick Stenmark,University 13,University
James P. Callan,Company 26,Company
Lawrence Yau,Company 20,Company
Luo Si,Company 28,Company
Thi Truong Avrahami,University 4,University
Dietmar Wolfram,Company 3,Company
Jin Zhang 0010,Company 10,Company
G. E. Derrick,Company 16,Company
Koen Jonkers,University 11,University
Lisa Matthias,Company 1,Company
Mikael Laakso,Company 27,Company
Najko Jahn,University 2,University
Kayvan Kousha,Company 14,Company
Mike Thelwall,University 3,University
Nathan R. Johnson,Company 14,Company
Bernard J. Jansen,University 24,University
Marc Resnick,Company 16,Company
Elaine G. Toms,University 30,University
Wendy Duff,University 21,University
Kalervo Järvelin,University 1,University
Sanna Kumpulainen,Company 3,Company
Gary Hackbarth,Company 16,Company
Jeffrey A. Wong,Company 13,Company
Kevin E. Dow,Company 6,Company
David Modjeska,University 4,University
Mark H. Chignell,University 25,University
Byron Marshall,Company 4,Company
Hsinchun Chen,University 5,University
Siddharth Kaza,University 19,University
Ciriaco Andrea D'Angelo,University 9,University
Giovanni Abramo,University 28,University
Dipasree Pal,University 30,University
Kalyankumar Datta,University 24,University
Mandar Mitra,University 30,University
Brenda Reyes Ayala,Company 9,Company
Gaohui Cao,Company 9,Company
Jiangping Chen,Company 28,Company
Ryan Knudson,Company 22,Company
Xinyue Wang,Company 6,Company
Daniel Dajun Zeng,Company 23,Company
Haiyan Fan,University 2,University
Hsinchun Chen,Company 7,Company
Michael Chau,Company 20,Company
Brendan Luyt,Company 26,Company
Erjia Yan,University 1,University
Kai Li 0010,University 4,University
Mengnan Zhao,Company 11,Company
Georgios Paltoglou,University 23,University
Kevan Buckley,Company 29,Company
Mike Thelwall,Company 22,Company
Dhavalkumar Thakker,Company 2,Company
Emmanuel G. Blanchard,Company 19,Company
Lydia Lau,Company 24,Company
Stan Karanasios,Company 23,Company
Vania Dimitrova,Company 6,Company
Catherine L. Smith,University 9,University
Esther Isabelle Wilder,University 12,University
William H. Walters,Company 8,Company
Juan Miguel Campanario,Company 22,Company
Boryung Ju,University 27,University
Myke Gluck,Company 6,Company
Kwan Yi,University 1,University
Namjoo Choi,University 15,University
Yungsoo Kim,Company 13,Company
Besiki Stvilia,Company 16,Company
Corinne Jörgensen,Company 22,Company
Shuheng Wu,University 13,University
Dubravka Juraga,University 24,University
Fiona Thompson,University 24,University
José Ramón Gil-García,Company 5,Company
Teresa M. Harrison,University 30,University
Theresa A. Pardo,Company 4,Company
Mark Sanderson,University 19,University
Paul D. Clough,University 4,University
Rita Wan-Chik,Company 1,Company
Terrence A. Brooks,Company 26,Company
Jennifer E. Rowley,Company 16,Company
Betsy Van der Veer Martens,University 28,University
Connie Van Fleet,Company 12,Company
Fidelia Ibekwe-Sanjuan,University 25,University
Rachel Plotnick,University 3,University
Daniel Zeng,Company 7,Company
Heng Gao,University 3,University
Qiudan Li,Company 22,Company
Zhongfeng Zhang,University 13,University
Amber Chuang,University 1,University
Ling-Ling Wu,Company 7,Company
Pin-Yuen Chen,University 13,University
Chen Qiao,University 11,University
Xiao Hu 0001,Company 5,Company
Jonathan M. Levitt,Company 22,Company
Mike Thelwall,Company 9,Company
Dongbo Shi,Company 28,Company
Jiang Li 0002,Company 12,Company
Robert V. Williams,Company 4,Company
Bin Wu,Company 18,Company
David Bodoff,University 27,University
K. Y. Michael Wong,University 17,University
Alexander Serenko,University 8,University
Brian Detlor,University 30,University
Heidi Julien,Company 28,Company
Tara La Rose,Company 30,Company
Michael Zimmer 0004,Company 16,Company
Katherine W. McCain,University 20,University
Jin-Cheon Na,Company 18,Company
Luke Kien-Weng Tan,Company 17,Company
Ying Ding 0001,University 21,University
Frada Burstein,Company 7,Company
Julie Fisher,Company 29,Company
Rosetta Manaszewicz,Company 14,Company
Sue McKemmish,Company 16,Company
Charles Oppenheim,University 5,University
Fytton Rowland,Company 13,Company
Michael Norris,Company 2,Company
Jimmy Xiangji Huang,University 2,University
Xiangdong An 0001,University 23,University
Patrick Gaulé,University 27,University
Alvin Hutchinson,University 29,University
Andrew MacFarlane 0001,Company 7,Company
Gerd Berget,Company 13,Company
Hafsa Raza,University 8,University
Khaled Shaalan,Company 24,Company
Agnieszka Geras,Company 4,Company
Grzegorz Siudem,Company 1,Company
Marek Gagolewski,Company 8,Company
Alberto H. F. Laender,Company 2,Company
Berthier A. Ribeiro-Neto,University 8,University
Denilson Alves Pereira,University 26,University
Marcos André Gonçalves,University 4,University
Nivio Ziviani,Company 1,Company
Marcia J. Bates,University 11,University
Antoine Doucet,University 23,University
Emanuela Boros,University 15,University
Eva Pfanzelter,University 10,University
Hannu Toivonen,Company 16,Company
Jani Marjanen,Company 11,Company
Juha Rautiainen,University 27,University
Mikko Tolonen,University 25,University
Sarah Oberbichler,University 14,University
Leo Egghe,Company 3,Company
Liming Liang 0001,University 30,University
Ronald Rousseau 0001,University 26,University
Anthony F. J. van Raan,Company 15,Company
Enayat Rajabi,University 16,University
Miguel-Ángel Sicilia,Company 12,Company
Salvador Sánchez-Alonso,University 27,University
Christy M. K. Cheung,University 12,University
Ivy L. B. Liu,University 9,University
Matthew K. O. Lee,University 3,University
Christy M. K. Cheung,Company 3,Company
Ivy L. B. Liu,University 12,University
Matthew K. O. Lee,Company 6,Company
Denise E. Agosto,Company 4,Company
Alexandra L. Uitdenbogerd,University 6,University
Justin Zobel,University 4,University
Leanne Bowler,University 17,University
J. Michael B. MacLeod,Company 25,Company
Lehana Thabane,Company 29,Company
René F. Reitsma,Company 8,Company
Chris Kenyon,University 13,University
Robert Colebunders,Company 28,Company
Ronald Rousseau 0001,Company 24,Company
Leo Egghe,Company 25,Company
Raf Guns,Company 13,Company
Ronald Rousseau 0001,University 7,University
Jian Qin 0001,University 11,University
Xiaozhong Liu,Company 14,Company
Dale A. Stirling,Company 23,Company
Jin Mao,Company 25,Company
Kun Lu 0001,Company 29,Company
Endel Põder,University 8,University
Bert R. Boyce,University 27,University
Ahmed Abbasi,Company 12,Company
Hsinchun Chen,Company 23,Company
Tianjun Fu,Company 9,Company
John Leslie King,University 23,University
Rob Kling,University 19,University
Roberta Lamb,Company 12,Company
Birger Hjørland,Company 9,Company
Mustafa Koc,University 8,University
Loet Leydesdorff,Company 29,Company
Lutz Bornmann,University 13,University
Ciaran B. Trace,Company 23,Company
Yan Zhang 0005,Company 3,Company
